Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","1990","1990","1000 ha","1121","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","1991","1991","1000 ha","1127","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","1992","1992","1000 ha","1127","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","1993","1993","1000 ha","1126","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","1994","1994","1000 ha","1126","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","1995","1995","1000 ha","1127","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","1996","1996","1000 ha","1131","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","1997","1997","1000 ha","1135","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","1998","1998","1000 ha","1139","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","1999","1999","1000 ha","1145","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2000","2000","1000 ha","1144","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2001","2001","1000 ha","1139","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2002","2002","1000 ha","1140","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2003","2003","1000 ha","1121","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2004","2004","1000 ha","1122","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2005","2005","1000 ha","1077","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2006","2006","1000 ha","1120","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2007","2007","1000 ha","1119","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2008","2008","1000 ha","1181","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2009","2009","1000 ha","1201.3","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2010","2010","1000 ha","1201.3","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2011","2011","1000 ha","1201","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2012","2012","1000 ha","1201.3","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2013","2013","1000 ha","1187.3","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2014","2014","1000 ha","1174.29","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2015","2015","1000 ha","1174.3","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2016","2016","1000 ha","1181.7","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2017","2017","1000 ha","1174.281","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1174.081","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2019","2019","1000 ha","1174","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1165.555","A","Official figure",""
