Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","1990","1990","1000 ha","1.93","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","1991","1991","1000 ha","1.964","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","1992","1992","1000 ha","1.998","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","1993","1993","1000 ha","2.032","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","1994","1994","1000 ha","2.066","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","1995","1995","1000 ha","2.1","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","1996","1996","1000 ha","2.134","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","1997","1997","1000 ha","2.168","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","1998","1998","1000 ha","2.202","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","1999","1999","1000 ha","2.236","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2000","2000","1000 ha","2.27","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2001","2001","1000 ha","2.3","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2002","2002","1000 ha","2.33","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2003","2003","1000 ha","2.36","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2004","2004","1000 ha","2.39","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2005","2005","1000 ha","2.42","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2006","2006","1000 ha","2.45","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2007","2007","1000 ha","2.48","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2008","2008","1000 ha","2.51","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2009","2009","1000 ha","2.54","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2010","2010","1000 ha","2.57","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2011","2011","1000 ha","2.6","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2012","2012","1000 ha","2.63","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2013","2013","1000 ha","2.66","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2014","2014","1000 ha","2.69","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2015","2015","1000 ha","2.72","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2016","2016","1000 ha","2.75","I","Value imputed by a receiving agency",""
