Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","1990","1990","1000 ha","8040","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","1991","1991","1000 ha","8030","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","1992","1992","1000 ha","8030","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","1993","1993","1000 ha","7934","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","1994","1994","1000 ha","7813","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","1995","1995","1000 ha","7763","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","1996","1996","1000 ha","7757","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","1997","1997","1000 ha","7795","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","1998","1998","1000 ha","7868","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","1999","1999","1000 ha","7764","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2000","2000","1000 ha","7794","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2001","2001","1000 ha","7795","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2002","2002","1000 ha","7790","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2003","2003","1000 ha","7884","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2004","2004","1000 ha","7928","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2005","2005","1000 ha","7917","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2006","2006","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2007","2007","1000 ha","7914","I","Value imputed by a receiving agency",""
